"Step","vibrant-mountain-58 - eval/loss","vibrant-mountain-58 - eval/loss__MIN","vibrant-mountain-58 - eval/loss__MAX"
"50","5.40625","5.40625","5.40625"
"100","3.859375","3.859375","3.859375"
"150","3.1875","3.1875","3.1875"
"200","2.609375","2.609375","2.609375"
"250","2.671875","2.671875","2.671875"
"300","2.390625","2.390625","2.390625"
"350","2.359375","2.359375","2.359375"
"400","2.265625","2.265625","2.265625"
"450","2.203125","2.203125","2.203125"
"500","2.265625","2.265625","2.265625"
"550","2.203125","2.203125","2.203125"
"600","1.9453125","1.9453125","1.9453125"
"650","2.21875","2.21875","2.21875"
"700","2.171875","2.171875","2.171875"
"750","2.078125","2.078125","2.078125"
"800","2.171875","2.171875","2.171875"
"850","2.078125","2.078125","2.078125"
"900","2.078125","2.078125","2.078125"
"950","2.0625","2.0625","2.0625"
"1000","1.9375","1.9375","1.9375"
"1050","2.359375","2.359375","2.359375"
"1100","2.03125","2.03125","2.03125"
"1150","2.140625","2.140625","2.140625"
"1200","2.21875","2.21875","2.21875"
"1250","1.9140625","1.9140625","1.9140625"
"1300","2.359375","2.359375","2.359375"
"1350","2.203125","2.203125","2.203125"
"1400","2.25","2.25","2.25"
"1450","2.46875","2.46875","2.46875"
"1500","2.640625","2.640625","2.640625"
"1550","2.859375","2.859375","2.859375"
"1600","2.765625","2.765625","2.765625"
"1650","2.484375","2.484375","2.484375"
"1700","2.515625","2.515625","2.515625"
"1750","2.421875","2.421875","2.421875"
"1800","2.484375","2.484375","2.484375"
"1850","2.640625","2.640625","2.640625"
"1900","2.703125","2.703125","2.703125"
"1950","2.921875","2.921875","2.921875"
"2000","2.796875","2.796875","2.796875"
"2050","2.671875","2.671875","2.671875"
"2100","3.046875","3.046875","3.046875"
"2150","2.875","2.875","2.875"
"2200","3","3","3"
"2250","2.921875","2.921875","2.921875"
"2300","2.703125","2.703125","2.703125"
"2350","2.75","2.75","2.75"
"2400","2.765625","2.765625","2.765625"
