"Step","denim-sound-65 - eval/loss","denim-sound-65 - eval/loss__MIN","denim-sound-65 - eval/loss__MAX"
"50","3.78125","3.78125","3.78125"
"100","2.5","2.5","2.5"
"150","2.203125","2.203125","2.203125"
"200","2.03125","2.03125","2.03125"
"250","1.9921875","1.9921875","1.9921875"
"300","1.8984375","1.8984375","1.8984375"
"350","1.8359375","1.8359375","1.8359375"
"400","1.859375","1.859375","1.859375"
"450","1.7109375","1.7109375","1.7109375"
"500","1.7265625","1.7265625","1.7265625"
"550","1.625","1.625","1.625"
"600","1.578125","1.578125","1.578125"
"650","1.609375","1.609375","1.609375"
"700","1.6640625","1.6640625","1.6640625"
"750","1.546875","1.546875","1.546875"
"800","1.625","1.625","1.625"
"850","1.6328125","1.6328125","1.6328125"
"900","1.5625","1.5625","1.5625"
"950","1.5078125","1.5078125","1.5078125"
"1000","1.4453125","1.4453125","1.4453125"
"1050","1.4921875","1.4921875","1.4921875"
"1100","1.453125","1.453125","1.453125"
"1150","1.5","1.5","1.5"
"1200","1.4453125","1.4453125","1.4453125"
"1250","1.515625","1.515625","1.515625"
"1300","1.5234375","1.5234375","1.5234375"
"1350","1.4609375","1.4609375","1.4609375"
"1400","1.484375","1.484375","1.484375"
"1450","1.4140625","1.4140625","1.4140625"
"1500","1.3984375","1.3984375","1.3984375"
"1550","1.390625","1.390625","1.390625"
"1600","1.421875","1.421875","1.421875"
"1650","1.4296875","1.4296875","1.4296875"
"1700","1.484375","1.484375","1.484375"
"1750","1.4453125","1.4453125","1.4453125"
